T1,T2,T3,T4,T5,T6,T7,T8,Target
325,34.2,7.79,232,-0.878,301.5,385,2,5.39E-009
290,34.5,7.26,232,-0.783,301.5,385,2,4.88E-010
290,48.8,7.26,232,-0.783,301.5,385,2,8.96E-010
330,31.9,7.89,231,-0.896,308.2,385,2,5.65E-009
290,36.9,7.26,232,-0.779,308.2,385,2,1.52E-009
325,31.7,7.79,232,-0.878,301.5,385,2,4.44E-009
325,37.1,7.79,232,-0.878,301.5,385,2,9.46E-009
325,38.4,7.79,232,-0.878,301.5,385,2,5.16E-009
325,38.2,7.79,232,-0.878,301.5,385,2,4.52E-009
325,33,7.79,232,-0.878,301.5,385,2,3.58E-009
325,35.8,7.79,232,-0.878,301.5,385,2,4.52E-009
325,31.3,7.79,232,-0.878,301.5,385,2,7.45E-009
325,32.1,7.79,232,-0.878,301.5,385,2,0.000000003
325,32.5,7.79,232,-0.878,301.5,385,2,2.29E-009
325,35.4,7.79,232,-0.878,301.5,385,2,2.58E-009
325,32.1,7.79,232,-0.878,301.5,385,2,2.52E-009
325,29.3,7.79,232,-0.878,301.5,385,2,2.62E-009
325,39.6,7.79,232,-0.878,301.5,385,2,7.85E-009
325,34.8,7.79,232,-0.878,301.5,385,2,0.000000006
290,40.9,7.26,232,-0.783,301.5,385,2,1.18E-009
290,36.7,7.26,232,-0.783,301.5,385,2,9.26E-010
290,43,7.26,232,-0.783,301.5,385,2,7.37E-010
290,31.9,7.26,232,-0.783,301.5,385,2,1.13E-009
290,35.5,7.26,232,-0.783,301.5,385,2,1.25E-009
290,35.5,7.26,232,-0.783,301.5,385,2,0.000000001
290,37.9,7.26,232,-0.783,301.5,385,2,1.19E-009
290,43.7,7.26,232,-0.783,301.5,385,2,1.35E-009
290,34.1,7.26,232,-0.783,301.5,385,2,6.92E-010
330,39.3,7.89,231,-0.896,308.2,385,2,0.000000007
330,44.5,7.89,231,-0.896,308.2,385,2,9.54E-009
330,34.3,7.89,231,-0.896,308.2,385,2,0.000000007
330,36,7.89,231,-0.896,374.4,385,2,8.09E-009
330,40.6,7.89,231,-0.896,374.4,385,2,1.39E-008
290,33.8,7.26,232,-0.779,308.2,385,2,0.000000001
325.4,30.6,7.54,260,-0.854,248.4,939,2.31,1.58E-009
326.9,21,7.46,379,-0.844,248.4,1764,3.37,1.78E-009
331.1,23,7.5,223,-0.862,273.8,1200,2,0.000000002
330,23,7.48,224,-0.844,389,1200,2,1.7E-009
290,27.8,6.9,224,-0.738,468,1000,2,1.11E-009
338,27.5,6.05,0.97,-0.56,255,0,0,1.394789E-009
338,27.5,6.05,0.97,-0.64,255,0,0,0.000000002
338,27.5,6.05,0.97,-0.697,255,0,0,4.621035E-009
338,27.5,6.05,0.97,-0.71,255,0,0,2.919564E-009
338,27.5,6.05,0.97,-0.73,255,0,0,1.919714E-009
338,65.9,6.05,0.97,-0.56,255,0,0,4.767168E-009
