,0,rf,adb,bag,ext,gbt
0,1,0.791666666667,0.6875,0.5625,0.770833333333,0.708333333333
1,11,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.791666666667
2,21,0.791666666667,0.729166666667,0.8125,0.770833333333,0.729166666667
3,31,0.770833333333,0.729166666667,0.8125,0.770833333333,0.770833333333
4,41,0.708333333333,0.729166666667,0.770833333333,0.770833333333,0.770833333333
5,51,0.729166666667,0.729166666667,0.6875,0.770833333333,0.8125
6,61,0.75,0.729166666667,0.770833333333,0.770833333333,0.791666666667
7,71,0.791666666667,0.729166666667,0.75,0.791666666667,0.75
8,81,0.770833333333,0.729166666667,0.791666666667,0.791666666667,0.770833333333
9,91,0.791666666667,0.729166666667,0.770833333333,0.791666666667,0.8125
10,101,0.8125,0.708333333333,0.770833333333,0.770833333333,0.8125
11,111,0.770833333333,0.729166666667,0.75,0.791666666667,0.8125
12,121,0.770833333333,0.708333333333,0.791666666667,0.770833333333,0.770833333333
13,131,0.75,0.729166666667,0.770833333333,0.791666666667,0.770833333333
14,141,0.791666666667,0.729166666667,0.729166666667,0.770833333333,0.791666666667
15,151,0.791666666667,0.729166666667,0.8125,0.791666666667,0.770833333333
16,161,0.75,0.729166666667,0.770833333333,0.791666666667,0.770833333333
17,171,0.770833333333,0.75,0.791666666667,0.791666666667,0.75
18,181,0.791666666667,0.729166666667,0.770833333333,0.770833333333,0.8125
19,191,0.791666666667,0.729166666667,0.75,0.791666666667,0.791666666667
20,201,0.791666666667,0.729166666667,0.770833333333,0.791666666667,0.791666666667
21,211,0.770833333333,0.75,0.6875,0.770833333333,0.791666666667
22,221,0.791666666667,0.75,0.75,0.791666666667,0.75
23,231,0.791666666667,0.729166666667,0.770833333333,0.791666666667,0.791666666667
24,241,0.791666666667,0.729166666667,0.770833333333,0.791666666667,0.770833333333
25,251,0.770833333333,0.729166666667,0.791666666667,0.791666666667,0.770833333333
26,261,0.791666666667,0.729166666667,0.75,0.770833333333,0.770833333333
27,271,0.791666666667,0.729166666667,0.770833333333,0.791666666667,0.791666666667
28,281,0.770833333333,0.729166666667,0.75,0.791666666667,0.791666666667
29,291,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.791666666667
30,301,0.8125,0.729166666667,0.75,0.791666666667,0.770833333333
31,311,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.770833333333
32,321,0.770833333333,0.75,0.75,0.791666666667,0.791666666667
33,331,0.791666666667,0.75,0.791666666667,0.791666666667,0.770833333333
34,341,0.770833333333,0.75,0.791666666667,0.770833333333,0.770833333333
35,351,0.791666666667,0.75,0.770833333333,0.791666666667,0.791666666667
36,361,0.791666666667,0.75,0.770833333333,0.791666666667,0.770833333333
37,371,0.770833333333,0.75,0.8125,0.791666666667,0.770833333333
38,381,0.791666666667,0.75,0.75,0.791666666667,0.770833333333
39,391,0.8125,0.75,0.791666666667,0.770833333333,0.770833333333
40,401,0.791666666667,0.770833333333,0.791666666667,0.791666666667,0.770833333333
41,411,0.729166666667,0.75,0.770833333333,0.770833333333,0.770833333333
42,421,0.770833333333,0.75,0.791666666667,0.791666666667,0.791666666667
43,431,0.8125,0.75,0.791666666667,0.791666666667,0.770833333333
44,441,0.791666666667,0.75,0.770833333333,0.791666666667,0.791666666667
45,451,0.791666666667,0.75,0.729166666667,0.791666666667,0.791666666667
46,461,0.791666666667,0.770833333333,0.8125,0.791666666667,0.770833333333
47,471,0.791666666667,0.75,0.791666666667,0.791666666667,0.770833333333
48,481,0.791666666667,0.729166666667,0.770833333333,0.791666666667,0.791666666667
49,491,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.770833333333
50,501,0.770833333333,0.729166666667,0.75,0.791666666667,0.770833333333
