,0,rf,adb,bag,ext,gbt
0,1,0.75,0.6875,0.8125,0.6875,0.729166666667
1,11,0.8125,0.729166666667,0.729166666667,0.770833333333,0.791666666667
2,21,0.770833333333,0.729166666667,0.75,0.770833333333,0.791666666667
3,31,0.791666666667,0.729166666667,0.770833333333,0.770833333333,0.8125
4,41,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.75
5,51,0.8125,0.729166666667,0.770833333333,0.791666666667,0.75
6,61,0.770833333333,0.729166666667,0.791666666667,0.770833333333,0.75
7,71,0.791666666667,0.729166666667,0.770833333333,0.833333333333,0.770833333333
8,81,0.8125,0.729166666667,0.791666666667,0.770833333333,0.729166666667
9,91,0.770833333333,0.729166666667,0.791666666667,0.791666666667,0.729166666667
10,101,0.770833333333,0.708333333333,0.791666666667,0.791666666667,0.770833333333
11,111,0.791666666667,0.729166666667,0.770833333333,0.770833333333,0.770833333333
12,121,0.8125,0.708333333333,0.791666666667,0.791666666667,0.729166666667
13,131,0.75,0.729166666667,0.791666666667,0.791666666667,0.75
14,141,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.75
15,151,0.770833333333,0.729166666667,0.791666666667,0.770833333333,0.75
16,161,0.75,0.729166666667,0.791666666667,0.791666666667,0.791666666667
17,171,0.770833333333,0.75,0.770833333333,0.791666666667,0.75
18,181,0.8125,0.729166666667,0.791666666667,0.770833333333,0.770833333333
19,191,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.75
20,201,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.75
21,211,0.791666666667,0.75,0.791666666667,0.770833333333,0.75
22,221,0.770833333333,0.75,0.791666666667,0.770833333333,0.75
23,231,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.75
24,241,0.75,0.729166666667,0.791666666667,0.791666666667,0.770833333333
25,251,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.75
26,261,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.770833333333
27,271,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.791666666667
28,281,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.770833333333
29,291,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.770833333333
30,301,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.75
31,311,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.791666666667
32,321,0.791666666667,0.75,0.791666666667,0.770833333333,0.791666666667
33,331,0.770833333333,0.75,0.791666666667,0.770833333333,0.770833333333
34,341,0.791666666667,0.75,0.791666666667,0.770833333333,0.75
35,351,0.770833333333,0.75,0.791666666667,0.770833333333,0.791666666667
36,361,0.791666666667,0.75,0.791666666667,0.791666666667,0.770833333333
37,371,0.791666666667,0.75,0.791666666667,0.791666666667,0.8125
38,381,0.791666666667,0.75,0.791666666667,0.791666666667,0.770833333333
39,391,0.791666666667,0.75,0.791666666667,0.770833333333,0.770833333333
40,401,0.791666666667,0.770833333333,0.791666666667,0.791666666667,0.770833333333
41,411,0.791666666667,0.75,0.791666666667,0.770833333333,0.791666666667
42,421,0.770833333333,0.75,0.791666666667,0.791666666667,0.770833333333
43,431,0.791666666667,0.75,0.791666666667,0.791666666667,0.791666666667
44,441,0.791666666667,0.75,0.791666666667,0.791666666667,0.791666666667
45,451,0.791666666667,0.75,0.791666666667,0.770833333333,0.770833333333
46,461,0.791666666667,0.770833333333,0.791666666667,0.791666666667,0.791666666667
47,471,0.791666666667,0.75,0.791666666667,0.791666666667,0.791666666667
48,481,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.791666666667
49,491,0.791666666667,0.729166666667,0.791666666667,0.791666666667,0.791666666667
50,501,0.791666666667,0.729166666667,0.791666666667,0.770833333333,0.791666666667
